region,gr,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,year
alabama,0.895377759698236,0,224126156,2054392,685081,2473883,1491556,0,60000,0,0,401965,987126,1380272,0,17325633,0,0,40034,0,-9972,0,0,0,4233580,1581244,0,0,5263594,2563301,36437023,0,5870435,0,2,9393677,2014
alaska,0.758752378938465,0,39134126,6948607,275300,129140867,12461648,0,0,0,0,249050,168641,1448411,-341,5638763,0,1659508,26843,0,0,0,0,29928681,257488,0,0,0,2871908,744842,10868734,0,3511491,0,0,1523086,2014
arizona,0.777659283717939,0,323846724,6556675,1551651,148428596,8153129,475000,60000,424872,0,1983239,1422929,4356473,0,25073282,0,2014617,704137,2656444,607557,42389,0,0,2549465,0,0,0,17246837,1635511,35679203,0,7339037,0,12600616,10841973,2014
arkansas,0.84847301037095,0,154318521,5258823,439326,815885,235303,0,60000,0,3515699,0,701739,1406340,3503992,11471042,0,0,0,0,464903,0,0,0,3745277,0,0,0,3991776,1638892,21819605,0,4991978,0,0,5027226,2014
california,0.89503384957694,722555,1631052887,129664795,1257682,71569491,3924772,3642522,0,3351410,19089164,10283041,7623234,44937529,95540965,125101330,0,1284060,10736965,18398739,3169600,2748353,0,0,4549957,3543548,0,4109086,156038132,18410701,279044685,0,28691451,0,33182645,57159420,2014
colorado,0.776627531815738,667547,147448317,7019494,461382,31108619,613469,474725,49802,1264307,3092267,645021,686387,590758,6539877,11338961,0,-128925,447198,1525840,0,0,0,0,1558109,2119360,0,0,11681859,1823481,25524478,0,6478769,0,7828868,5036020,2014
connecticut,0.904298828466515,0,113672445,0,1229251,4707801,31570,0,0,0,11830105,6583681,516605,4357530,1922291,9124816,0,0,293444,0,319372,0,0,0,259056,2434802,0,0,7289756,968458,21595023,0,5282877,0,12988201,3888709,2014
delaware,0.859767056631121,0,43101669,285586,431777,42599,0,0,120000,0,0,458660,189769,350358,539000,5313574,0,0,97841,374346,284753,0,0,0,17718,0,0,0,1442208,684007,10453588,0,3418890,0,0,1458410,2014
district of columbia,0.685198376916141,0,43076187,0,-72020,545210,0,0,0,0,0,321675,168499,9043980,5839006,5638763,12973863,0,140026,0,-353,6584952,0,0,0,0,1872558,0,1412764,693044,10361514,0,3270575,0,17877914,924315,2014
florida,0.782948697992508,687632,741093756,22670581,1498428,6916100,101752,867795,56231,417664,15641835,5179342,3538297,2886183,18820140,59817277,0,0,-182528,0,897535,1157875,0,0,1915474,2284272,0,723423,43667337,7424860,103235517,0,14361002,0,59180404,28162037,2014
georgia,0.805756515690847,0,503353196,7869817,1601063,20661851,0,455937,0,0,0,-485338,2264988,1354986,0,38435764,0,0,-104861,2282783,433842,464482,0,0,6076689,1652801,0,759340,15922463,5563291,59939921,0,10017685,22368496,0,16515175,2014
hawaii,0.814904934003771,0,50437452,800648,363324,41694154,0,0,120000,0,0,608901,242517,-9999,198457,5638763,0,0,104030,-17,0,0,0,0,0,0,30177619,0,3848286,744842,10843063,0,3834230,0,0,1787579,2014
idaho,0.788838006811926,0,57013757,3559378,425639,4893182,271851,943128,60000,849709,0,0,262279,843870,392749,5140151,0,297124,75552,0,0,0,0,0,1668898,0,0,0,1908664,744842,10856090,-166846,4211078,0,0,2020926,2014
illinois,0.855667234414665,-32072,656470897,1901678,1212606,17673578,229187,0,58718,0,0,1866219,2924369,4145578,4312968,52144158,6611140,0,2224219,4707398,302501,2043568,0,0,3210218,5276615,0,2447111,29892306,5226170,93418089,0,11497363,0,-613496,24082038,2014
indiana,0.870194447010385,684735,259550985,-594720,530568,1654561,0,0,0,0,0,850604,1000514,2598879,7014434,20050781,0,0,474939,-134023,0,0,0,0,1899460,0,0,0,8847610,2673251,38852191,0,7489944,0,8894644,8631254,2014
iowa,0.905746972537118,0,86623321,1408986,339161,228329,58365,0,0,0,0,1721498,365075,1006348,0,6152809,0,0,59823,0,0,0,0,0,1329303,1575239,0,0,4452173,625877,17917636,0,5039590,0,0,3008798,2014
kansas,0.866695718519823,651225,102287471,11495481,359699,34194549,894295,930194,60000,839979,3999993,-7129,467752,1253412,0,7784484,0,0,82176,0,0,432083,0,0,3275540,0,0,0,4972925,1075278,18160532,0,5017934,0,0,3679959,2014
kentucky,0.892754873661312,0,220003581,7367250,989687,1112048,0,938581,60000,0,0,2838579,989053,11406451,0,17075073,0,0,464887,0,-156128,0,0,0,5617786,0,0,1e+06,3985384,2167925,36004101,0,5848110,-186248,0,7480624,2014
